"global_id";"stop_id";"stop_name";"StationName";"Street";"Direction";"Pavilion";"OperatingOrgName";"geoData";"geodata_center";
"global_id";"Код остановки";"Наименование остановки";"Название остановки согласно указателю";"Наименование улицы, на которой находится остановка";"Направление";"Наличие павильона";"Балансодержатель остановки с павильоном";"geoData";"geodata_center";
"2583704860";"639";"Метро «Войковская»";"";"";"";"";"";"{coordinates=[37.49895773, 55.81865083], type=Point}";"{coordinates=[37.49895773, 55.81865083], type=Point}";
"2583704861";"4109";"Метро «Щёлковская»";"";"";"";"";"";"{coordinates=[37.7987196, 55.81141744], type=Point}";"{coordinates=[37.7987196, 55.81141744], type=Point}";
"2583704862";"1509";"Селигерская улица";"";"";"";"";"";"{coordinates=[37.54249399, 55.86633904], type=Point}";"{coordinates=[37.54249399, 55.86633904], type=Point}";
"2583704863";"1511";"Улица Академика Бочвара";"";"";"";"";"";"{coordinates=[37.45957822, 55.80504096], type=Point}";"{coordinates=[37.45957822, 55.80504096], type=Point}";
"2583704864";"1512";"Институт имени Гамалеи";"";"";"";"";"";"{coordinates=[37.45657188, 55.8023736], type=Point}";"{coordinates=[37.45657188, 55.8023736], type=Point}";
"2583704865";"1442";"Муниципалитет Южное Тушино";"";"";"";"";"";"{coordinates=[37.43232828, 55.84399565], type=Point}";"{coordinates=[37.43232828, 55.84399565], type=Point}";
"2583704866";"1443";"Улица Фабрициуса, 48";"";"";"";"";"";"{coordinates=[37.42692065, 55.84427645], type=Point}";"{coordinates=[37.42692065, 55.84427645], type=Point}";
"2583704868";"1445";"Улица Свободы, 63";"";"";"";"";"";"{coordinates=[37.45115886, 55.85435911], type=Point}";"{coordinates=[37.45115886, 55.85435911], type=Point}";
"2583704869";"1439";"Вишнёвая улица";"";"";"";"";"";"{coordinates=[37.44625839, 55.82771467], type=Point}";"{coordinates=[37.44625839, 55.82771467], type=Point}";
"2583704870";"1513";"Центр стоматологии";"";"";"";"";"";"{coordinates=[37.45854362, 55.79978613], type=Point}";"{coordinates=[37.45854362, 55.79978613], type=Point}";
"2583704871";"1514";"Улица Гамалеи";"";"";"";"";"";"{coordinates=[37.46496338, 55.79792174], type=Point}";"{coordinates=[37.46496338, 55.79792174], type=Point}";
"2583704873";"1516";"Метро «Сокол»";"";"";"";"";"";"{coordinates=[37.51366315, 55.80296604], type=Point}";"{coordinates=[37.51366315, 55.80296604], type=Point}";
"2583704874";"1517";"Улица Гамалеи";"";"";"";"";"";"{coordinates=[37.46419187, 55.7983144], type=Point}";"{coordinates=[37.46419187, 55.7983144], type=Point}";
"2583704875";"1518";"Центр стоматологии";"";"";"";"";"";"{coordinates=[37.45867546, 55.79987646], type=Point}";"{coordinates=[37.45867546, 55.79987646], type=Point}";
"2583704876";"1519";"Институт имени Гамалеи";"";"";"";"";"";"{coordinates=[37.45679411, 55.80235108], type=Point}";"{coordinates=[37.45679411, 55.80235108], type=Point}";
"2583704877";"1520";"Улица Академика Бочвара";"";"";"";"";"";"{coordinates=[37.45933135, 55.80444979], type=Point}";"{coordinates=[37.45933135, 55.80444979], type=Point}";
"2583704878";"1523";"Карельский бульвар";"";"";"";"";"";"{coordinates=[37.53325311, 55.8927204], type=Point}";"{coordinates=[37.53325311, 55.8927204], type=Point}";
"2583704879";"1524";"Стадион";"";"";"";"";"";"{coordinates=[37.53639885, 55.88856809], type=Point}";"{coordinates=[37.53639885, 55.88856809], type=Point}";
"2583704880";"1525";"Учинская улица";"";"";"";"";"";"{coordinates=[37.53364119, 55.88596784], type=Point}";"{coordinates=[37.53364119, 55.88596784], type=Point}";
"2583704881";"1522";"Площадь Академика Курчатова";"";"";"";"";"";"{coordinates=[37.476162, 55.80181492], type=Point}";"{coordinates=[37.476162, 55.80181492], type=Point}";
"2583704882";"1526";"Яхромский проезд";"";"";"";"";"";"{coordinates=[37.53293727, 55.87982775], type=Point}";"{coordinates=[37.53293727, 55.87982775], type=Point}";
"2583704883";"1528";"Метро «Дмитровская»";"";"";"";"";"";"{coordinates=[37.58121423, 55.80678085], type=Point}";"{coordinates=[37.58121423, 55.80678085], type=Point}";
"2583704884";"1529";"Бутырская улица";"";"";"";"";"";"{coordinates=[37.58384115, 55.79590134], type=Point}";"{coordinates=[37.58384115, 55.79590134], type=Point}";
"2583704885";"1532";"Метро «Дмитровская»";"";"";"";"";"";"{coordinates=[37.58144885, 55.80750085], type=Point}";"{coordinates=[37.58144885, 55.80750085], type=Point}";
"2583704886";"1535";"Улица Софьи Ковалевской";"";"";"";"";"";"{coordinates=[37.53382726, 55.87674766], type=Point}";"{coordinates=[37.53382726, 55.87674766], type=Point}";
"2583704887";"1536";"Яхромский проезд";"";"";"";"";"";"{coordinates=[37.53324075, 55.88056814], type=Point}";"{coordinates=[37.53324075, 55.88056814], type=Point}";
"2583704888";"1537";"Храм Матроны Московской";"";"";"";"";"";"{coordinates=[37.53289689, 55.88391511], type=Point}";"{coordinates=[37.53289689, 55.88391511], type=Point}";
"2583704889";"1538";"Учинская улица";"";"";"";"";"";"{coordinates=[37.53525761, 55.88647873], type=Point}";"{coordinates=[37.53525761, 55.88647873], type=Point}";
"2583704890";"1539";"Стадион";"";"";"";"";"";"{coordinates=[37.53680954, 55.88958956], type=Point}";"{coordinates=[37.53680954, 55.88958956], type=Point}";
"2583704891";"1540";"Карельский бульвар";"";"";"";"";"";"{coordinates=[37.53598199, 55.89367154], type=Point}";"{coordinates=[37.53598199, 55.89367154], type=Point}";
"2583704892";"1541";"Клязьминская улица, 19";"";"";"";"";"";"{coordinates=[37.53025071, 55.8921211], type=Point}";"{coordinates=[37.53025071, 55.8921211], type=Point}";
"2583704893";"1542";"Гостиница";"";"";"";"";"";"{coordinates=[37.57250733, 55.82470293], type=Point}";"{coordinates=[37.57250733, 55.82470293], type=Point}";
"2583704894";"1543";"Гостиница";"";"";"";"";"";"{coordinates=[37.57315122, 55.82510824], type=Point}";"{coordinates=[37.57315122, 55.82510824], type=Point}";
"2583704895";"1544";"Гостиница";"";"";"";"";"";"{coordinates=[37.5713352, 55.82590651], type=Point}";"{coordinates=[37.5713352, 55.82590651], type=Point}";
"2583704896";"1546";"Метродепо «Планерное»";"";"";"";"";"";"{coordinates=[37.43993785, 55.8694894], type=Point}";"{coordinates=[37.43993785, 55.8694894], type=Point}";
"2583704897";"1547";"Бутаковский залив";"";"";"";"";"";"{coordinates=[37.43581453, 55.87457849], type=Point}";"{coordinates=[37.43581453, 55.87457849], type=Point}";
"2583704898";"1548";"Ленинградское шоссе (МКАД)";"";"";"";"";"";"{coordinates=[37.44809228, 55.87867959], type=Point}";"{coordinates=[37.44809228, 55.87867959], type=Point}";
"2583704899";"1549";"Прибрежный проезд";"";"";"";"";"";"{coordinates=[37.46098578, 55.87201114], type=Point}";"{coordinates=[37.46098578, 55.87201114], type=Point}";
"2583704900";"1550";"Прибрежный проезд, 7";"";"";"";"";"";"{coordinates=[37.46436708, 55.87364754], type=Point}";"{coordinates=[37.46436708, 55.87364754], type=Point}";
"2583704901";"1552";"Прибрежный проезд, 7";"";"";"";"";"";"{coordinates=[37.46311468, 55.87346962], type=Point}";"{coordinates=[37.46311468, 55.87346962], type=Point}";
"2583704902";"1553";"Ленинградское шоссе (МКАД)";"";"";"";"";"";"{coordinates=[37.44900266, 55.87874428], type=Point}";"{coordinates=[37.44900266, 55.87874428], type=Point}";
"2583704903";"1554";"Новобутаково";"";"";"";"";"";"{coordinates=[37.43347571, 55.87850954], type=Point}";"{coordinates=[37.43347571, 55.87850954], type=Point}";
"2583704904";"1555";"Метродепо «Планерное»";"";"";"";"";"";"{coordinates=[37.43880142, 55.86834037], type=Point}";"{coordinates=[37.43880142, 55.86834037], type=Point}";
"2583704905";"1556";"Братцево";"";"";"";"";"";"{coordinates=[37.40482375, 55.84975709], type=Point}";"{coordinates=[37.40482375, 55.84975709], type=Point}";
"2583704906";"1560";"Шелепихинское шоссе";"";"";"";"";"";"{coordinates=[37.52181138, 55.75998546], type=Point}";"{coordinates=[37.52181138, 55.75998546], type=Point}";
"2583704907";"1561";"Мост Окружной железной дороги";"";"";"";"";"";"{coordinates=[37.52378766, 55.76135043], type=Point}";"{coordinates=[37.52378766, 55.76135043], type=Point}";
"2583704909";"1562";"1-й Магистральный проезд";"";"";"";"";"";"{coordinates=[37.52102068, 55.76419928], type=Point}";"{coordinates=[37.52102068, 55.76419928], type=Point}";
"2583704910";"1563";"Станция Пресня";"";"";"";"";"";"{coordinates=[37.5182031, 55.76754506], type=Point}";"{coordinates=[37.5182031, 55.76754506], type=Point}";
"2583704911";"1565";"1-я Магистральная улица";"";"";"";"";"";"{coordinates=[37.51830115, 55.7722347], type=Point}";"{coordinates=[37.51830115, 55.7722347], type=Point}";
"2583704912";"1566";"Магистральный переулок";"";"";"";"";"";"{coordinates=[37.52059378, 55.77493984], type=Point}";"{coordinates=[37.52059378, 55.77493984], type=Point}";
"2583704913";"1571";"Улица Мнёвники, 16";"";"";"";"";"";"{coordinates=[37.48137, 55.77397058], type=Point}";"{coordinates=[37.48137, 55.77397058], type=Point}";
"2583704914";"1046";"Метро «Петровско-Разумовская»";"";"";"";"";"";"{coordinates=[37.57405866, 55.83667518], type=Point}";"{coordinates=[37.57405866, 55.83667518], type=Point}";
"2583704915";"1574";"Улица Нижние Мнёвники - Байк-центр";"";"";"";"";"";"{coordinates=[37.47181006, 55.76580458], type=Point}";"{coordinates=[37.47181006, 55.76580458], type=Point}";
"2583704916";"1577";"Музыкальная академия";"";"";"";"";"";"{coordinates=[37.45570807, 55.75231901], type=Point}";"{coordinates=[37.45570807, 55.75231901], type=Point}";
"2583704917";"1579";"Красностуденческий проезд";"";"";"";"";"";"{coordinates=[37.55917014, 55.82358163], type=Point}";"{coordinates=[37.55917014, 55.82358163], type=Point}";
"2583704918";"1583";"Музыкальная академия";"";"";"";"";"";"{coordinates=[37.45788173, 55.75363969], type=Point}";"{coordinates=[37.45788173, 55.75363969], type=Point}";
"2583704919";"1000555";"Новокосино";"";"";"";"";"";"{coordinates=[37.88956895, 55.74191937], type=Point}";"{coordinates=[37.88956895, 55.74191937], type=Point}";
"2583704921";"1587";"Улица Нижние Мнёвники - Байк-центр";"";"";"";"";"";"{coordinates=[37.47340113, 55.76576691], type=Point}";"{coordinates=[37.47340113, 55.76576691], type=Point}";
"2583704922";"1452";"4-й микрорайон Строгина";"";"";"";"";"";"{coordinates=[37.39327022, 55.81572607], type=Point}";"{coordinates=[37.39327022, 55.81572607], type=Point}";
